query_path,query_image,query_label,P@20,P@40,P@60
D:\BJTU_CV_Exp2\dataset\query\sy-xgfafd54612011.jpg,sy-xgfafd54612011.jpg,sy,1.0,1.0,0.9666666666666667
D:\BJTU_CV_Exp2\dataset\query\tsg-04.jpg,tsg-04.jpg,tsg,1.0,1.0,0.9666666666666667
D:\BJTU_CV_Exp2\dataset\query\tsg-202405152208511.jpg,tsg-202405152208511.jpg,tsg,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\tsg-20240515220852.jpg,tsg-20240515220852.jpg,tsg,0.9,0.875,0.9
D:\BJTU_CV_Exp2\dataset\query\tsg-697h6d7ghguis.jpg,tsg-697h6d7ghguis.jpg,tsg,0.9,0.85,0.75
D:\BJTU_CV_Exp2\dataset\query\tsg-6xvb.png,tsg-6xvb.png,tsg,0.35,0.325,0.23333333333333334
D:\BJTU_CV_Exp2\dataset\query\tsg-a481450saq.jpg,tsg-a481450saq.jpg,tsg,0.9,0.9,0.9
D:\BJTU_CV_Exp2\dataset\query\tsg-aidhbansnlnsss.jpg,tsg-aidhbansnlnsss.jpg,tsg,0.8,0.625,0.5666666666666667
D:\BJTU_CV_Exp2\dataset\query\tsg-asdjahchdswqduiwh3427jjwhef32.jpg,tsg-asdjahchdswqduiwh3427jjwhef32.jpg,tsg,1.0,1.0,0.9833333333333333
D:\BJTU_CV_Exp2\dataset\query\tsg-asjdjksjcfrejfk9999jasjashj121.jpg,tsg-asjdjksjcfrejfk9999jasjashj121.jpg,tsg,1.0,0.925,0.8666666666666667
D:\BJTU_CV_Exp2\dataset\query\tsg-dskjfsbjk43534.jpg,tsg-dskjfsbjk43534.jpg,tsg,0.9,0.875,0.8333333333333334
D:\BJTU_CV_Exp2\dataset\query\tsg-e636ca0721e5887c69ef6b28708b9015.png,tsg-e636ca0721e5887c69ef6b28708b9015.png,tsg,0.85,0.75,0.7166666666666667
D:\BJTU_CV_Exp2\dataset\query\tsg-gaemssry35375.jpg,tsg-gaemssry35375.jpg,tsg,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\tsg-ksdbgjes.jpg,tsg-ksdbgjes.jpg,tsg,0.85,0.775,0.7166666666666667
D:\BJTU_CV_Exp2\dataset\query\tsg-qwrnoi289rh.jpg,tsg-qwrnoi289rh.jpg,tsg,0.5,0.25,0.2
D:\BJTU_CV_Exp2\dataset\query\tsg-xfafd54612131.jpg,tsg-xfafd54612131.jpg,tsg,0.85,0.775,0.7166666666666667
D:\BJTU_CV_Exp2\dataset\query\ty-1kln3l123lk1.png,ty-1kln3l123lk1.png,ty,0.25,0.3,0.4
D:\BJTU_CV_Exp2\dataset\query\ty-202405152208461.jpg,ty-202405152208461.jpg,ty,1.0,1.0,0.9666666666666667
D:\BJTU_CV_Exp2\dataset\query\ty-202405152208462.jpg,ty-202405152208462.jpg,ty,1.0,0.975,0.9166666666666666
D:\BJTU_CV_Exp2\dataset\query\ty-202405152208463.jpg,ty-202405152208463.jpg,ty,1.0,1.0,1.0
D:\BJTU_CV_Exp2\dataset\query\ty-902397dda144ad34c9ae6285dda20cf431ad859b.jpeg,ty-902397dda144ad34c9ae6285dda20cf431ad859b.jpeg,ty,0.75,0.675,0.6666666666666666
D:\BJTU_CV_Exp2\dataset\query\ty-asdfinsidgn2352.jpeg,ty-asdfinsidgn2352.jpeg,ty,0.95,0.775,0.7666666666666667
D:\BJTU_CV_Exp2\dataset\query\ty-d81htdtysrgsh.jpg,ty-d81htdtysrgsh.jpg,ty,1.0,0.925,0.9166666666666666
D:\BJTU_CV_Exp2\dataset\query\ty-fjdkgdf5455454.jpg,ty-fjdkgdf5455454.jpg,ty,0.9,0.875,0.8666666666666667
D:\BJTU_CV_Exp2\dataset\query\ty-jd9273.png,ty-jd9273.png,ty,0.95,0.8,0.6833333333333333
D:\BJTU_CV_Exp2\dataset\query\ty-m7n8b9v0c1x2z3l4.jpg,ty-m7n8b9v0c1x2z3l4.jpg,ty,1.0,0.975,0.9
D:\BJTU_CV_Exp2\dataset\query\ty-sajibfoi234252.jpeg,ty-sajibfoi234252.jpeg,ty,0.95,0.875,0.7833333333333333
D:\BJTU_CV_Exp2\dataset\query\ty-uiwoic01937892.jpg,ty-uiwoic01937892.jpg,ty,1.0,1.0,0.9
D:\BJTU_CV_Exp2\dataset\query\ty-xxww2.png,ty-xxww2.png,ty,1.0,1.0,0.9833333333333333
D:\BJTU_CV_Exp2\dataset\query\ty-yi9ouv6780bjntghdfkmcer.jpg,ty-yi9ouv6780bjntghdfkmcer.jpg,ty,0.95,0.9,0.8666666666666667
D:\BJTU_CV_Exp2\dataset\query\yf-d6h1hgjdhwujd.jpg,yf-d6h1hgjdhwujd.jpg,yf,0.6,0.475,0.4
D:\BJTU_CV_Exp2\dataset\query\yf-dy789j1hdhsyghdjai.jpg,yf-dy789j1hdhsyghdjai.jpg,yf,0.75,0.575,0.4666666666666667
D:\BJTU_CV_Exp2\dataset\query\yf-fnsjdk342324.jpg,yf-fnsjdk342324.jpg,yf,0.85,0.675,0.5833333333333334
D:\BJTU_CV_Exp2\dataset\query\yf-gaduaygwjdnad.jpg,yf-gaduaygwjdnad.jpg,yf,0.6,0.525,0.4666666666666667
D:\BJTU_CV_Exp2\dataset\query\yf-kawubc78920192.jpg,yf-kawubc78920192.jpg,yf,0.4,0.225,0.21666666666666667
D:\BJTU_CV_Exp2\dataset\query\yf-nvdvzuta56714.jpg,yf-nvdvzuta56714.jpg,yf,0.1,0.05,0.05
D:\BJTU_CV_Exp2\dataset\query\yf-uiuqbn98742104.jpg,yf-uiuqbn98742104.jpg,yf,0.95,0.85,0.7833333333333333
